Plant_ID,Date,Temperature,Humidity,TDS Value (ppm),pH Level,Growth Days
1,8/3/2023,33.4,53,582,6.4,1
1,8/4/2023,33.5,53,451,6.1,2
1,8/5/2023,33.4,59,678,6.4,3
1,8/6/2023,33.4,68,420,6.4,4
1,8/7/2023,33.4,74,637,6.5,5
1,8/8/2023,32.3,77,478,6.8,6
1,8/9/2023,32.3,75,682,6,7
1,8/10/2023,22.7,63,576,6.3,8
1,8/11/2023,31.9,69,662,6.1,9
1,8/12/2023,30.2,59,607,6.2,10
1,8/13/2023,30.1,77,670,6.5,11
1,8/14/2023,30.1,54,535,6.4,12
1,8/15/2023,30.1,78,480,6,13
1,8/16/2023,29.8,56,688,6.4,14
1,8/17/2023,29.6,62,653,6.6,15
1,8/18/2023,30.9,70,742,6.1,16
1,8/19/2023,30.8,57,580,6.2,17
1,8/20/2023,30.9,78,789,6.5,18
1,8/21/2023,30.2,63,516,6,19
1,8/22/2023,30.5,51,527,6.4,20
1,8/23/2023,30.8,57,669,6.2,21
1,8/24/2023,31.3,73,645,6.6,22
1,8/25/2023,31.4,52,744,6.8,23
1,8/26/2023,31.4,61,719,6.4,24
1,8/27/2023,30.1,77,589,6.7,25
1,8/28/2023,29.4,71,654,6.4,26
1,8/29/2023,28.7,64,451,6.4,27
1,8/30/2023,29.1,51,623,6.6,28
1,8/31/2023,29.2,55,680,6.7,29
1,9/1/2023,31.7,50,601,6.4,30
1,9/2/2023,31.7,52,603,6.7,31
1,9/3/2023,31.7,76,762,6.7,32
1,9/4/2023,31.7,55,517,6,33
1,9/5/2023,32,55,743,6.6,34
1,9/6/2023,32.1,76,709,6,35
1,9/7/2023,31.5,68,416,6.2,36
1,9/8/2023,29.8,68,577,6.3,37
1,9/9/2023,20.1,61,621,6.5,38
1,9/10/2023,31.1,64,478,6,39
1,9/11/2023,31.2,79,672,6.3,40
1,9/12/2023,31.2,62,576,6.7,41
1,9/13/2023,30.4,57,726,6.1,42
1,9/14/2023,29.1,75,636,6.8,43
1,9/15/2023,30.6,55,688,6.6,44
1,9/16/2023,31.5,68,637,6.2,45
2,8/3/2023,33.4,74,586,6.1,1
2,8/4/2023,33.5,65,433,6.8,2
2,8/5/2023,33.4,55,749,6.7,3
2,8/6/2023,33.4,68,680,6.8,4
2,8/7/2023,33.4,50,488,6.4,5
2,8/8/2023,32.3,78,697,6.3,6
2,8/9/2023,32.3,77,624,6.6,7
2,8/10/2023,22.7,57,593,6.5,8
2,8/11/2023,31.9,73,564,6.1,9
2,8/12/2023,30.2,65,416,6.6,10
2,8/13/2023,30.1,71,664,6.4,11
2,8/14/2023,30.1,65,746,6.8,12
2,8/15/2023,30.1,75,646,6.3,13
2,8/16/2023,29.8,58,413,6.5,14
2,8/17/2023,29.6,50,487,6.7,15
2,8/18/2023,30.9,79,564,6.2,16
2,8/19/2023,30.8,56,430,6.5,17
2,8/20/2023,30.9,71,527,6.2,18
2,8/21/2023,30.2,51,704,6.3,19
2,8/22/2023,30.5,62,732,6.3,20
2,8/23/2023,30.8,69,420,6.5,21
2,8/24/2023,31.3,54,608,6.3,22
2,8/25/2023,31.4,58,687,6.3,23
2,8/26/2023,31.4,64,529,6.2,24
2,8/27/2023,30.1,78,427,6.3,25
2,8/28/2023,29.4,57,780,6.4,26
2,8/29/2023,28.7,57,508,6.2,27
2,8/30/2023,29.1,58,603,6.6,28
2,8/31/2023,29.2,56,581,6.7,29
2,9/1/2023,31.7,56,622,6.4,30
2,9/2/2023,31.7,73,598,6.5,31
2,9/3/2023,31.7,57,597,6.2,32
2,9/4/2023,31.7,61,498,6,33
2,9/5/2023,32,63,569,6.4,34
2,9/6/2023,32.1,75,697,6.3,35
2,9/7/2023,31.5,77,627,6.6,36
2,9/8/2023,29.8,61,537,6.6,37
2,9/9/2023,20.1,63,785,6.3,38
2,9/10/2023,31.1,70,428,6.7,39
2,9/11/2023,31.2,56,797,6.8,40
2,9/12/2023,31.2,66,657,6.8,41
2,9/13/2023,30.4,75,473,6.6,42
2,9/14/2023,29.1,72,689,6.3,43
2,9/15/2023,30.6,52,681,6.3,44
2,9/16/2023,31.5,79,719,6.7,45
3,8/3/2023,33.4,51,667,6.2,1
3,8/4/2023,33.5,63,632,6.1,2
3,8/5/2023,33.4,65,636,6.7,3
3,8/6/2023,33.4,62,525,6.6,4
3,8/7/2023,33.4,65,735,6,5
3,8/8/2023,32.3,80,794,6.4,6
3,8/9/2023,32.3,80,691,6.2,7
3,8/10/2023,22.7,65,783,6.6,8
3,8/11/2023,31.9,62,531,6.7,9
3,8/12/2023,30.2,69,473,6.4,10
3,8/13/2023,30.1,55,745,6.1,11
3,8/14/2023,30.1,80,569,6.3,12
3,8/15/2023,30.1,63,743,6.3,13
3,8/16/2023,29.8,69,566,6.1,14
3,8/17/2023,29.6,53,671,6.6,15
